month,section,account,department,amount
2026-12-01,Revenue,Product Revenue,Sales,341142.53
2026-12-01,Revenue,Services Revenue,Sales,106015.4
2026-12-01,COGS,Cloud Hosting,Engineering,80488.43
2026-12-01,COGS,Customer Support Delivery,Support,44715.79
2026-12-01,Operating Expense,Salaries & Wages,G&A,133000.0
2026-12-01,Operating Expense,Marketing Programs,Marketing,42000.0
2026-12-01,Operating Expense,Software Tools,Engineering,18000.0
2026-12-01,Operating Expense,Rent & Office,G&A,15000.0
2026-12-01,Operating Expense,Travel & Meals,Sales,12000.0
2026-12-01,Other Expense,Interest Expense,Finance,5500.0
2026-12-01,Tax,Income Tax Expense,Finance,21305.28
